CHOICE,ITEM,SUB,custom_id,equal_size,left_larger,left_smaller,mode_id
1,21,1513003540,4,1,0,0,1
0,21,1513003540,4,0,1,0,2
0,21,1513003540,4,0,0,1,3
0,18,1513003540,6,0,0,1,1
0,18,1513003540,6,0,1,0,2
1,18,1513003540,6,1,0,0,3
0,36,1513003540,8,0,1,0,1
0,36,1513003540,8,0,1,0,2
1,36,1513003540,8,1,0,0,3
1,2,1513003540,12,1,0,0,1
0,2,1513003540,12,1,0,0,2
0,2,1513003540,12,0,0,1,3
0,28,1513003540,16,0,1,0,1
1,28,1513003540,16,1,0,0,2
0,28,1513003540,16,1,0,0,3
0,15,1513003540,18,0,0,1,1
1,15,1513003540,18,1,0,0,2
0,15,1513003540,18,0,0,1,3
1,11,1513003540,20,1,0,0,1
0,11,1513003540,20,0,1,0,2
0,11,1513003540,20,0,1,0,3
0,30,1513003540,24,0,1,0,1
0,30,1513003540,24,0,0,1,2
1,30,1513003540,24,0,1,0,3
0,10,1513003540,26,0,0,1,1
1,10,1513003540,26,0,1,0,2
0,10,1513003540,26,1,0,0,3
1,22,1513003540,28,1,0,0,1
0,22,1513003540,28,0,1,0,2
0,22,1513003540,28,1,0,0,3
0,12,1513003540,32,1,0,0,1
0,12,1513003540,32,0,0,1,2
1,12,1513003540,32,0,1,0,3
0,13,1513003540,34,0,0,1,1
1,13,1513003540,34,0,1,0,2
0,13,1513003540,34,0,0,1,3
0,26,1513003540,36,0,0,1,1
1,26,1513003540,36,0,1,0,2
0,26,1513003540,36,0,0,1,3
1,16,1513003540,38,1,0,0,1
0,16,1513003540,38,0,1,0,2
0,16,1513003540,38,0,1,0,3
0,33,1513003540,40,0,0,1,1
1,33,1513003540,40,1,0,0,2
0,33,1513003540,40,0,1,0,3
0,1,1513003540,42,0,0,1,1
1,1,1513003540,42,1,0,0,2
0,1,1513003540,42,1,0,0,3
1,23,1513003540,44,1,0,0,1
0,23,1513003540,44,0,1,0,2
0,23,1513003540,44,0,0,1,3
