SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE,CHOICE_SIZE
1513003540,0,24,2,60,120,1,120,60,2,120,60,CENTER,LARGER
1513003540,0,4,2,120,120,1,60,120,1,120,60,CENTER,SMALLER
1513003540,0,14,2,120,120,1,120,60,2,120,60,CENTER,LARGER
1513003540,0,34,1,60,120,1,120,60,2,120,60,BOTTOM,SMALLER
1513003540,0,29,2,120,60,1,120,120,2,60,120,BOTTOM,LARGER
1513003540,0,19,1,120,60,1,120,120,2,120,120,CENTER,EQUAL
1513003540,0,9,2,120,60,2,120,120,2,60,120,CENTER,EQUAL
1513005195,0,3,1,120,60,1,120,120,2,60,120,CENTER,EQUAL
1513005195,0,28,2,60,120,1,60,120,1,120,120,CENTER,SMALLER
1513005195,0,23,2,60,120,1,120,60,2,120,120,CENTER,LARGER
1513005195,0,13,1,120,120,2,60,120,1,120,60,CENTER,LARGER
1513005195,0,18,1,120,120,1,60,120,2,120,120,CENTER,SMALLER
1513005195,0,33,2,120,60,2,60,120,1,60,120,CENTER,LARGER
1513005195,0,8,1,120,120,2,120,60,1,120,60,TOP,EQUAL
1513005474,0,17,2,120,60,1,120,120,2,120,120,CENTER,EQUAL
1513005474,0,22,1,120,120,1,120,60,1,60,120,TOP,EQUAL
1513005474,0,32,1,120,60,2,60,120,1,120,120,BOTTOM,EQUAL
1513005474,0,12,1,120,60,2,60,120,1,60,120,TOP,LARGER
1513005474,0,27,1,60,120,1,120,120,2,60,120,BOTTOM,LARGER
1513005474,0,2,1,60,120,2,120,120,1,120,120,CENTER,EQUAL
1513005474,0,7,2,120,120,2,60,120,1,60,120,TOP,EQUAL
1513006726,0,5,2,120,120,2,60,120,2,120,60,CENTER,LARGER
1513006726,0,30,2,120,120,1,120,60,1,120,120,TOP,EQUAL
1513006726,0,20,2,120,60,1,120,60,1,60,120,CENTER,LARGER
1513006726,0,35,2,120,60,1,120,60,1,60,120,CENTER,LARGER
1513006726,0,10,1,60,120,1,120,120,2,120,60,BOTTOM,SMALLER
1513006726,0,25,1,60,120,1,120,60,2,120,60,BOTTOM,SMALLER
1513006726,0,15,2,60,120,1,120,120,2,120,120,CENTER,EQUAL
1513007007,0,34,2,60,120,1,120,60,1,120,120,BOTTOM,EQUAL
1513007007,0,24,1,120,120,1,60,120,1,120,60,TOP,EQUAL
1513007007,0,14,1,120,60,2,120,120,1,60,120,TOP,LARGER
1513007007,0,9,1,120,120,1,120,60,2,120,60,TOP,EQUAL
1513007007,0,4,1,120,60,2,120,120,2,120,60,CENTER,EQUAL
1513007007,0,29,1,60,120,2,120,120,1,120,60,CENTER,EQUAL
1513007007,0,19,1,120,60,1,120,120,2,60,120,TOP,LARGER
1513009610,0,33,2,60,120,2,120,60,1,60,120,BOTTOM,SMALLER
1513009610,0,18,1,120,120,2,60,120,2,120,120,BOTTOM,EQUAL
1513009610,0,8,1,120,120,2,60,120,1,60,120,TOP,EQUAL
1513009610,0,3,1,60,120,2,120,120,2,60,120,TOP,SMALLER
1513009610,0,28,1,120,120,2,120,60,1,120,60,TOP,EQUAL
1513009610,0,23,1,120,120,2,120,60,1,120,60,TOP,EQUAL
1513009610,0,13,1,120,60,2,120,120,1,120,120,CENTER,EQUAL
1513009715,0,2,1,120,120,1,60,120,2,60,120,TOP,EQUAL
1513009715,0,7,2,120,60,2,60,120,1,120,120,BOTTOM,EQUAL
1513009715,0,22,1,120,60,2,120,120,1,60,120,CENTER,EQUAL
1513009715,0,27,1,120,120,1,120,60,2,60,120,TOP,EQUAL
1513009715,0,32,1,60,120,1,120,60,2,120,60,CENTER,LARGER
1513009715,0,17,2,120,60,2,60,120,2,120,120,BOTTOM,EQUAL
1513009715,0,12,2,60,120,1,120,120,2,120,120,CENTER,EQUAL
1513010203,0,25,2,120,60,1,60,120,2,120,120,TOP,SMALLER
1513010203,0,10,2,120,60,1,120,120,1,120,60,CENTER,EQUAL
1513010203,0,15,1,60,120,2,120,120,2,60,120,CENTER,EQUAL
1513010203,0,30,2,120,120,1,60,120,2,60,120,TOP,EQUAL
1513010203,0,5,2,120,60,2,60,120,1,120,120,TOP,SMALLER
1513010203,0,35,2,120,60,1,120,120,2,60,120,CENTER,EQUAL
1513010203,0,20,2,120,120,2,60,120,1,120,120,CENTER,LARGER
1513010709,0,24,2,120,60,1,120,60,1,120,120,BOTTOM,EQUAL
1513010709,0,34,1,120,60,2,60,120,2,120,60,BOTTOM,SMALLER
1513010709,0,14,2,120,60,1,120,60,2,60,120,BOTTOM,LARGER
1513010709,0,19,2,60,120,1,60,120,1,120,120,BOTTOM,EQUAL
1513010709,0,29,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1513010709,0,9,2,120,120,2,120,60,1,120,60,TOP,EQUAL
1513010709,0,4,1,120,60,2,120,60,2,120,120,BOTTOM,EQUAL
1513010783,0,8,1,120,120,1,60,120,2,120,120,TOP,EQUAL
1513010783,0,18,1,120,120,2,120,120,1,60,120,TOP,EQUAL
1513010783,0,28,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1513010783,0,23,2,60,120,2,120,60,1,120,60,TOP,LARGER
1513010783,0,33,1,120,120,2,120,60,2,120,120,BOTTOM,EQUAL
1513010783,0,3,2,120,120,1,120,120,1,60,120,CENTER,EQUAL
1513010783,0,13,2,60,120,2,120,60,2,120,120,BOTTOM,EQUAL
1513011460,0,22,2,120,60,2,120,120,1,120,120,CENTER,EQUAL
1513011460,0,7,2,120,60,2,120,120,1,120,60,CENTER,EQUAL
1513011460,0,2,1,120,60,1,120,120,2,120,120,BOTTOM,EQUAL
1513011460,0,27,2,120,60,1,60,120,2,120,120,BOTTOM,EQUAL
1513011460,0,17,1,120,120,2,60,120,1,120,60,TOP,EQUAL
1513011460,0,12,2,120,60,2,120,120,1,60,120,CENTER,EQUAL
1513011460,0,32,1,120,60,1,60,120,2,120,120,CENTER,SMALLER
1513011474,0,16,1,60,120,1,120,60,1,120,120,CENTER,LARGER
1513011474,0,31,2,120,120,2,60,120,1,60,120,TOP,EQUAL
1513011474,0,11,1,120,120,2,60,120,1,60,120,CENTER,LARGER
1513011474,0,36,1,120,120,2,120,120,1,120,60,CENTER,EQUAL
