CHOICE,ITEM,SUB,custom_id,equal_size,left_larger,left_smaller,mode_id
0,24,1513003540,2,0,1,0,1
1,24,1513003540,2,0,1,0,2
0,24,1513003540,2,0,0,1,3
0,4,1513003540,10,1,0,0,1
1,4,1513003540,10,0,0,1,2
0,4,1513003540,10,0,1,0,3
0,14,1513003540,14,1,0,0,1
1,14,1513003540,14,0,1,0,2
0,14,1513003540,14,0,0,1,3
0,34,1513003540,22,0,0,1,1
0,34,1513003540,22,0,1,0,2
1,34,1513003540,22,0,0,1,3
0,29,1513003540,30,0,0,1,1
0,29,1513003540,30,1,0,0,2
1,29,1513003540,30,0,1,0,3
0,19,1513003540,66,0,1,0,1
1,19,1513003540,66,1,0,0,2
0,19,1513003540,66,1,0,0,3
0,9,1513003540,72,0,0,1,1
1,9,1513003540,72,1,0,0,2
0,9,1513003540,72,0,1,0,3
0,3,1513005195,79,0,1,0,1
1,3,1513005195,79,1,0,0,2
0,3,1513005195,79,0,1,0,3
0,28,1513005195,95,0,1,0,1
1,28,1513005195,95,0,0,1,2
0,28,1513005195,95,1,0,0,3
0,23,1513005195,101,0,1,0,1
1,23,1513005195,101,0,1,0,2
0,23,1513005195,101,1,0,0,3
0,13,1513005195,125,1,0,0,1
1,13,1513005195,125,0,1,0,2
0,13,1513005195,125,0,1,0,3
0,18,1513005195,135,1,0,0,1
1,18,1513005195,135,0,0,1,2
0,18,1513005195,135,1,0,0,3
0,33,1513005195,137,0,0,1,1
1,33,1513005195,137,0,1,0,2
0,33,1513005195,137,0,0,1,3
1,8,1513005195,139,1,0,0,1
0,8,1513005195,139,0,0,1,2
0,8,1513005195,139,0,1,0,3
0,17,1513005474,158,0,0,1,1
1,17,1513005474,158,1,0,0,2
0,17,1513005474,158,1,0,0,3
1,22,1513005474,162,1,0,0,1
0,22,1513005474,162,0,1,0,2
0,22,1513005474,162,0,0,1,3
0,32,1513005474,164,0,1,0,1
0,32,1513005474,164,0,1,0,2
1,32,1513005474,164,1,0,0,3
1,12,1513005474,174,0,1,0,1
0,12,1513005474,174,0,1,0,2
0,12,1513005474,174,0,0,1,3
0,27,1513005474,178,0,0,1,1
0,27,1513005474,178,1,0,0,2
1,27,1513005474,178,0,1,0,3
0,2,1513005474,206,0,0,1,1
1,2,1513005474,206,1,0,0,2
0,2,1513005474,206,1,0,0,3
1,7,1513005474,210,1,0,0,1
0,7,1513005474,210,0,1,0,2
0,7,1513005474,210,0,0,1,3
0,5,1513006726,235,1,0,0,1
1,5,1513006726,235,0,1,0,2
0,5,1513006726,235,0,0,1,3
1,30,1513006726,243,1,0,0,1
0,30,1513006726,243,0,1,0,2
0,30,1513006726,243,1,0,0,3
0,20,1513006726,255,0,0,1,1
1,20,1513006726,255,0,1,0,2
0,20,1513006726,255,0,0,1,3
0,35,1513006726,271,0,0,1,1
1,35,1513006726,271,0,1,0,2
0,35,1513006726,271,0,0,1,3
0,10,1513006726,273,0,0,1,1
0,10,1513006726,273,1,0,0,2
1,10,1513006726,273,0,0,1,3
0,25,1513006726,285,0,0,1,1
0,25,1513006726,285,0,1,0,2
1,25,1513006726,285,0,0,1,3
0,15,1513006726,299,0,1,0,1
1,15,1513006726,299,1,0,0,2
0,15,1513006726,299,1,0,0,3
0,34,1513007007,322,0,1,0,1
0,34,1513007007,322,0,1,0,2
1,34,1513007007,322,1,0,0,3
1,24,1513007007,326,1,0,0,1
0,24,1513007007,326,0,0,1,2
0,24,1513007007,326,0,1,0,3
1,14,1513007007,330,0,1,0,1
0,14,1513007007,330,1,0,0,2
0,14,1513007007,330,0,0,1,3
1,9,1513007007,346,1,0,0,1
0,9,1513007007,346,0,1,0,2
0,9,1513007007,346,0,0,1,3
0,4,1513007007,356,0,1,0,1
1,4,1513007007,356,1,0,0,2
0,4,1513007007,356,0,0,1,3
0,29,1513007007,368,0,0,1,1
1,29,1513007007,368,1,0,0,2
0,29,1513007007,368,0,1,0,3
1,19,1513007007,376,0,1,0,1
0,19,1513007007,376,1,0,0,2
0,19,1513007007,376,0,1,0,3
0,33,1513009610,387,0,1,0,1
0,33,1513009610,387,0,0,1,2
1,33,1513009610,387,0,0,1,3
0,18,1513009610,409,1,0,0,1
0,18,1513009610,409,0,1,0,2
1,18,1513009610,409,1,0,0,3
1,8,1513009610,411,1,0,0,1
